Feature1,Feature2,Label
0.62,0.65,0
0.28,1.28,1
0.33,1.48,1
0.46,0.15,0
0.49,0.32,0
0.31,0.96,0
0.15,1.97,1
0.22,1.69,1
1.69,0.05,1
0.28,1.59,1
0.34,1.34,1
1.49,1.17,1
0.36,1.92,1
0.42,0.05,0
1.32,0.56,1
1.75,1.84,1
1.77,1.56,1
1.54,0.99,1
1.48,0.9,1
1.9,1.15,1
0.92,1.09,1
0.18,1.67,1
1.34,0.41,1
1.91,1.21,1
0.86,0.58,0
0.28,1.04,1
1.04,1.41,1
1.44,1.28,1
0.65,0.85,0
1.15,1.68,1
1.79,1.58,1
1.0,0.84,0
0.21,0.15,0
1.41,0.43,1
1.92,0.5,1
1.92,1.81,1
0.03,0.17,0
1.54,0.4,1
0.61,0.2,0
0.2,0.49,0
0.13,1.48,1
0.21,1.81,1
1.47,0.43,1
1.72,1.89,1
1.88,1.91,1
1.86,1.62,1
0.18,0.99,0
0.66,0.13,0
1.97,0.48,1
0.71,1.97,1
1.79,0.95,1
0.57,0.73,0
1.06,1.99,1
1.63,0.56,1
0.75,0.54,0
0.04,0.64,0
0.42,0.65,0
0.64,1.79,1
1.81,0.7,1
1.51,1.24,1
0.68,0.23,0
1.2,1.84,1
0.1,1.06,1
0.36,1.82,1
1.1,1.38,1
1.9,0.89,1
1.02,0.45,1
1.87,1.85,1
1.04,1.54,1
0.03,0.23,0
0.24,0.68,0
0.35,1.79,1
1.05,0.86,1
1.46,1.28,1
0.36,1.17,1
0.62,1.63,1
0.46,1.34,1
0.83,0.44,0
0.41,0.73,0
1.24,0.2,1
0.91,1.26,1
0.08,1.18,1
0.09,0.65,0
1.81,0.18,1
0.08,1.6,1
1.46,1.2,1
1.8,1.27,1
0.15,0.26,0
0.16,1.05,1
0.93,0.71,0
0.82,1.96,1
0.35,0.87,0
1.82,1.65,1
0.88,0.75,0
0.54,1.18,1
0.71,1.52,1
1.87,1.73,1
0.75,0.17,0
1.82,0.48,1
1.62,1.62,1
0.13,1.98,1
1.87,1.39,1
0.06,1.27,1
1.97,1.05,1
0.19,0.74,0
0.22,0.99,0
1.73,1.25,1
0.32,1.8,1
1.19,0.1,1
0.17,1.07,1
1.66,0.79,1
1.7,0.63,1
1.38,0.87,1
0.12,0.55,0
1.06,0.48,1
0.06,0.52,0
1.3,1.7,1
0.42,1.8,1
0.72,0.59,0
1.63,1.11,1
1.39,1.84,1
1.29,0.82,1
0.34,1.11,1
0.09,0.56,0
1.68,0.94,1
0.02,0.94,0
0.78,1.63,1
0.35,1.83,1
0.24,1.15,1
0.9,0.23,0
1.79,1.6,1
1.17,0.8,1
1.18,0.54,1
0.27,1.8,1
0.8,1.23,1
1.37,0.33,1
0.11,1.73,1
0.23,1.22,1
0.93,1.09,1
1.83,0.74,1
1.31,0.48,1
0.51,1.36,1
0.24,1.3,1
0.84,0.5,0
0.12,1.1,1
1.03,0.65,1
0.74,1.55,1
0.36,0.37,0
1.82,0.5,1
0.52,1.32,1
1.41,0.16,1
0.67,0.8,0
0.25,1.46,1
0.85,0.04,0
1.0,1.19,1
1.93,1.62,1
0.91,1.24,1
0.62,1.04,1
1.07,0.1,1
1.64,1.72,1
0.36,0.69,0
1.52,1.19,1
0.56,0.35,0
0.75,1.9,1
1.43,1.32,1
0.99,0.66,0
0.04,1.94,1
1.63,0.52,1
1.28,0.17,1
1.86,1.11,1
0.24,0.99,0
0.79,1.24,1
0.59,0.77,0
0.59,1.9,1
1.88,1.79,1
0.98,0.52,0
0.64,0.37,0
0.88,1.78,1
1.14,0.19,1
1.66,0.71,1
1.59,1.01,1
0.1,0.56,0
0.05,1.93,1
0.27,0.06,0
0.56,0.05,0
1.05,0.88,1
0.24,1.78,1
1.07,1.84,1
0.49,1.64,1
1.13,0.13,1
1.01,1.65,1
1.27,0.09,1
1.2,1.33,1
1.27,1.74,1
0.05,1.17,1
0.7,1.18,1
0.57,1.74,1
1.32,1.14,1
1.39,1.4,1
0.56,1.09,1
1.6,1.3,1
0.59,0.66,0
1.04,1.7,1
1.26,0.9,1
1.93,1.71,1
1.88,1.15,1
1.11,1.22,1
0.78,0.02,0
0.54,0.75,0
0.75,1.25,1
1.86,1.13,1
1.44,1.71,1
0.05,0.22,0
0.13,1.5,1
1.17,1.49,1
0.11,0.24,0
0.07,1.14,1
0.39,1.44,1
1.02,1.0,1
1.33,1.05,1
1.25,0.17,1
0.92,1.96,1
1.9,1.45,1
0.58,0.71,0
0.15,1.64,1
1.58,1.0,1
1.61,0.01,1
0.31,1.17,1
1.98,0.83,1
0.07,1.82,1
0.17,1.97,1
0.3,0.62,0
0.75,0.74,0
1.34,1.52,1
1.79,1.08,1
0.88,0.16,0
0.94,0.82,0
0.03,1.33,1
0.74,0.97,0
1.23,0.84,1
1.22,1.01,1
0.31,0.36,0
0.17,1.21,1
1.58,1.58,1
0.73,1.94,1
1.94,1.05,1
1.91,1.48,1
0.65,1.49,1
1.29,0.35,1
1.26,1.75,1
1.1,1.12,1
0.25,0.79,0
0.84,1.79,1
0.2,1.33,1
0.13,1.9,1
1.92,0.75,1
0.53,0.49,0
1.75,0.81,1
0.24,1.43,1
0.91,1.57,1
1.34,0.34,1
1.83,0.27,1
0.29,0.98,0
0.64,1.9,1
0.09,0.05,0
1.63,0.68,1
1.74,1.04,1
1.59,0.3,1
0.64,1.62,1
0.52,1.33,1
0.78,0.54,0
1.17,0.16,1
0.34,0.54,0
0.45,1.93,1
1.75,1.48,1
1.74,0.97,1
0.04,0.21,0
1.59,0.54,1
0.24,1.39,1
1.43,1.79,1
0.78,1.29,1
1.77,0.94,1
1.25,0.82,1
1.71,1.41,1
1.03,1.57,1
1.88,0.36,1
1.85,1.75,1
0.09,0.08,0
1.65,0.72,1
1.21,0.47,1
1.02,0.48,1
0.29,1.85,1
0.09,1.78,1
0.46,1.8,1
0.38,0.08,0
0.58,0.32,0
0.2,0.04,0
1.78,1.26,1
1.97,1.51,1
0.93,1.49,1
1.95,0.79,1
0.67,1.54,1
0.78,0.87,0
1.26,0.16,1
0.01,1.63,1
1.87,0.28,1
1.1,0.87,1
0.45,0.9,0
1.41,1.46,1
0.86,1.93,1
1.02,1.06,1
1.54,0.37,1
1.44,0.59,1
0.72,0.23,0
0.92,1.89,1
1.83,0.72,1
0.67,0.27,0
1.5,1.61,1
1.53,0.28,1
1.97,1.68,1
0.03,1.86,1
0.01,0.32,0
1.99,1.11,1
0.05,0.44,0
1.89,0.65,1
0.49,0.78,0
1.29,0.35,1
0.28,0.35,0
0.84,0.77,0
0.31,0.5,0
1.27,0.52,1
1.6,1.39,1
0.57,1.18,1
0.72,1.75,1
0.14,1.28,1
1.81,1.25,1
0.7,1.86,1
1.37,0.88,1
1.45,1.79,1
0.61,1.05,1
0.5,0.69,0
0.52,0.76,0
1.75,1.19,1
0.82,1.51,1
1.19,0.76,1
1.2,1.42,1
1.94,1.68,1
0.75,1.62,1
1.26,1.39,1
0.17,1.4,1
1.24,0.74,1
0.33,1.63,1
1.3,0.45,1
1.29,1.14,1
1.17,1.8,1
1.61,1.5,1
0.46,0.85,0
0.07,0.94,0
0.25,1.04,1
0.99,0.6,0
1.46,0.99,1
1.97,0.3,1
0.63,1.02,1
0.55,1.11,1
1.52,1.75,1
1.55,1.12,1
0.2,0.31,0
0.64,0.22,0
1.22,0.28,1
0.41,0.38,0
0.04,1.83,1
1.07,0.48,1
0.26,0.3,0
1.33,1.87,1
1.61,1.79,1
0.68,1.64,1
0.19,1.37,1
1.4,1.59,1
1.14,0.56,1
0.04,1.74,1
1.01,1.38,1
0.57,0.07,0
1.47,1.61,1
1.45,1.95,1
0.05,0.31,0
0.06,0.07,0
1.19,1.36,1
1.67,1.39,1
1.55,0.91,1
0.75,0.19,0
0.31,0.31,0
1.32,0.33,1
0.01,1.02,1
0.46,1.44,1
1.94,1.73,1
1.66,1.93,1
0.41,0.02,0
1.26,0.67,1
0.15,1.11,1
0.85,1.47,1
0.46,1.34,1
0.39,0.14,0
0.02,1.94,1
1.9,1.78,1
0.72,0.18,0
0.18,0.39,0
0.35,0.18,0
0.8,1.12,1
1.24,1.07,1
1.16,1.26,1
0.19,1.79,1
0.23,1.34,1
1.78,0.68,1
1.7,0.49,1
0.55,0.38,0
1.4,1.07,1
0.69,0.69,0
0.28,1.6,1
0.95,0.2,0
0.85,1.81,1
0.37,0.42,0
0.5,1.49,1
0.59,1.79,1
1.3,1.66,1
1.1,1.43,1
1.35,1.5,1
1.01,1.22,1
1.18,0.8,1
0.58,1.16,1
0.12,1.73,1
0.23,1.88,1
1.18,0.09,1
1.54,0.15,1
0.28,1.59,1
1.88,0.77,1
0.17,1.99,1
0.98,0.95,0
1.27,0.48,1
1.23,1.98,1
0.68,0.7,0
0.34,0.56,0
0.14,0.64,0
1.42,0.47,1
1.08,1.27,1
0.82,0.35,0
0.4,1.03,1
1.24,0.72,1
1.21,0.02,1
1.6,0.36,1
1.15,1.21,1
0.3,0.83,0
1.5,1.01,1
1.63,1.89,1
1.27,1.07,1
0.99,1.19,1
0.07,0.5,0
0.86,0.26,0
1.01,1.71,1
0.93,0.6,0
1.73,1.83,1
1.66,0.42,1
1.15,0.99,1
0.37,0.57,0
0.9,0.26,0
1.39,1.09,1
1.95,1.97,1
1.36,0.03,1
0.27,0.03,0
0.25,1.84,1
1.41,0.31,1
1.72,0.86,1
1.22,0.34,1
1.63,2.0,1
1.72,1.9,1
1.52,1.12,1
1.94,1.55,1
0.4,0.33,0
0.11,0.67,0
1.61,0.37,1
1.16,0.07,1
1.54,1.89,1
1.38,0.77,1
0.28,1.67,1
1.09,0.37,1
1.5,1.51,1
0.68,1.86,1
0.54,1.08,1
0.77,1.09,1
1.13,0.95,1
0.7,0.23,0
0.74,1.26,1
1.54,0.43,1
1.04,0.09,1
0.83,0.55,0
0.22,0.8,0
0.29,1.52,1
0.48,1.46,1
0.21,0.89,0
0.58,0.73,0
0.24,0.92,0
